adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adobe-source-sans-pro-fonts 3.028-1
adobe-source-serif-pro-fonts 3.001-2
apache 2.4.46-3
arandr 0.1.10-5
arduino 1:1.8.13-2
arduino-avr-core 1.8.3-1
arduino-docs 1.6.6-7
asciidoc 9.0.4-2
audacity 1:2.4.1-4
autoconf 2.70-1
automake 1.16.2-3
awesome-terminal-fonts 1.1.0-3
base 2-2
bash 5.1.004-1
bash-completion 2.11-1
bashtop 0.9.25-1
bfgminer 5.5.0-3
binaryen 1:98-1
bind 9.16.10-1
binutils 2.35.1-1
bison 3.7.2-1
bmon 4.0-4
bonnie++ 1.98-1
bzip2 1.0.8-4
ccze 0.2.1-11
chromium 87.0.4280.88-3
clang 11.0.0-4
cmake 3.19.2-1
cmatrix 2.0-2
code 1.52.1-1
composer 2.0.8-1
coreutils 8.32-1
cowfortune 0.1.2-7
cowsay 3.04-2
cryptsetup 2.3.4-1
device-mapper 2.02.187-3
dhcpcd 9.4.0-1
diffutils 3.7-3
discord 0.0.13-1
e2fsprogs 1.45.6-3
ed 1.16-2
elementary-icon-theme 5.3.1-1
emacs 27.1-3
evince 3.38.0+1+gffa3fd98-1
expac 10-2
fakeroot 1.25.3-1
fcron 3.2.1-4
feh 3.6.1-1
file 5.39-1
filesystem 2020.09.03-1
filezilla 3.46.3-1
findutils 4.7.0-2
firefox 84.0.1-1
flatpak 1.9.2-1
flex 2.6.4-3
gawk 5.1.0-1
gcc 10.2.0-4
gcc-libs 10.2.0-4
gconf 3.2.6+11+g07808097-5
gedit 3.38.1-1
gendesk 1.0.6-1
gettext 0.21-1
gimp 2.10.22-1
git 2.30.0-1
glfw-x11 3.3.2-2
glibc 2.32-5
glm 0.9.9.8-1
gnu-netcat 0.7.1-8
gpick 0.2.6rc1-10
grep 3.6-1
grub 2:2.04-8
gzip 1.10-3
htop 3.0.4-1
i3-wm 4.19-1
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.13-3
icedtea-web 1.8.3-2
icedtea-web-doc 1.8.3-2
inetutils 1.9.4-8
inkscape 1.0.1-4
intellij-idea-ultimate-edition 2019.3.4-1
intellij-idea-ultimate-edition-jre 2019.3.4-1
iproute2 5.10.0-2
iputils 20200821-1
irssi 1.2.2-4
java-openjfx 14.0.2.u0-2
java-openjfx-src 14.0.2.u0-2
java8-openjfx 8.u202-3
java8-openjfx-src 8.u202-3
jdk-openjdk 14.0.2.u12-1
jdk11-openjdk 11.0.8.u10-1
jdk7-openjdk 7.u261_2.6.22-1
jdk8-openjdk 8.u265-1
jfsutils 1.1.15-7
jq 1.6-4
krita 4.4.1-7
less 563-1
lib32-dbus-glib 0.110-2
lib32-giflib 5.2.1-1
lib32-gst-plugins-base-libs 1.18.2-1
lib32-gtk2 2.24.32-2
lib32-gtk3 3.24.24-1
lib32-libnm 1.22.0-1
lib32-libnm-glib 1.18.5dev+12+ga8746f48ca-1
lib32-libpulse 14.0-1
lib32-libudev0-shim 1-4
lib32-libusb 1.0.23-2
lib32-libva 2.8.0-1
lib32-libva1 1.8.3-3
lib32-libvdpau 1.4-1
lib32-libxft 2.3.3-1
lib32-libxrandr 1.5.2-1
lib32-libxslt 1.1.34-1
lib32-libxtst 1.2.3-2
